id1,id2
MD.model.ptg000003l.1,ptg000003lG000001
MD.model.ptg000003l.10,ptg000003lG000007
MD.model.ptg000003l.11,ptg000003lG000008
MD.model.ptg000003l.12,ptg000003lG000009
MD.model.ptg000003l.13,ptg000003lG000010
MD.model.ptg000003l.15,ptg000003lG000011
MD.model.ptg000003l.17,ptg000003lG000012
MD.model.ptg000003l.18,ptg000003lG000013
MD.model.ptg000003l.19,ptg000003lG000014
MD.model.ptg000003l.2,ptg000003lG000002
MD.model.ptg000003l.20,ptg000003lG000015
MD.model.ptg000003l.21,ptg000003lG000016
MD.model.ptg000003l.23,ptg000003lG000017
MD.model.ptg000003l.26,ptg000003lG000018
MD.model.ptg000003l.28,ptg000003lG000019
MD.model.ptg000003l.29,ptg000003lG000020
MD.model.ptg000003l.30,ptg000003lG000021
MD.model.ptg000003l.31,ptg000003lG000022
MD.model.ptg000003l.32,ptg000003lG000023
MD.model.ptg000003l.33,ptg000003lG000024
MD.model.ptg000003l.34,ptg000003lG000025
MD.model.ptg000003l.35,ptg000003lG000026
MD.model.ptg000003l.36,ptg000003lG000027
MD.model.ptg000003l.37,ptg000003lG000028
MD.model.ptg000003l.38,ptg000003lG000029
MD.model.ptg000003l.39,ptg000003lG000030
MD.model.ptg000003l.4,ptg000003lG000003
MD.model.ptg000003l.40,ptg000003lG000031
MD.model.ptg000003l.41,ptg000003lG000032
MD.model.ptg000003l.42,ptg000003lG000033
MD.model.ptg000003l.43,ptg000003lG000034
MD.model.ptg000003l.5,ptg000003lG000004
MD.model.ptg000003l.8,ptg000003lG000005
MD.model.ptg000003l.9,ptg000003lG000006
MD.model.ptg000007l.1,ptg000007lG000001
MD.model.ptg000007l.100,ptg000007lG000076
MD.model.ptg000007l.1000,ptg000007lG000840
MD.model.ptg000007l.1001,ptg000007lG000841
MD.model.ptg000007l.1003,ptg000007lG000842
MD.model.ptg000007l.1004,ptg000007lG000843
MD.model.ptg000007l.1005,ptg000007lG000844
MD.model.ptg000007l.1006,ptg000007lG000845
MD.model.ptg000007l.1007,ptg000007lG000846
MD.model.ptg000007l.1008,ptg000007lG000847
MD.model.ptg000007l.1009,ptg000007lG000848
MD.model.ptg000007l.101,ptg000007lG000077
MD.model.ptg000007l.1010,ptg000007lG000849
MD.model.ptg000007l.1011,ptg000007lG000850
MD.model.ptg000007l.1012,ptg000007lG000851
MD.model.ptg000007l.1013,ptg000007lG000852
MD.model.ptg000007l.1014,ptg000007lG000853
MD.model.ptg000007l.1015,ptg000007lG000854
MD.model.ptg000007l.1016,ptg000007lG000855
MD.model.ptg000007l.1018,ptg000007lG000856
MD.model.ptg000007l.1019,ptg000007lG000857
MD.model.ptg000007l.102,ptg000007lG000078
MD.model.ptg000007l.1020,ptg000007lG000858
MD.model.ptg000007l.1021,ptg000007lG000859
MD.model.ptg000007l.1022,ptg000007lG000860
MD.model.ptg000007l.1023,ptg000007lG000861
MD.model.ptg000007l.1024,ptg000007lG000862
MD.model.ptg000007l.1025,ptg000007lG000863
MD.model.ptg000007l.1026,ptg000007lG000864
MD.model.ptg000007l.1027,ptg000007lG000865
MD.model.ptg000007l.1028,ptg000007lG000866
MD.model.ptg000007l.1029,ptg000007lG000867
MD.model.ptg000007l.103,ptg000007lG000079
MD.model.ptg000007l.1030,ptg000007lG000868
MD.model.ptg000007l.1031,ptg000007lG000869
MD.model.ptg000007l.1032,ptg000007lG000870
MD.model.ptg000007l.1033,ptg000007lG000871
MD.model.ptg000007l.1034,ptg000007lG000872
MD.model.ptg000007l.1035,ptg000007lG000873
MD.model.ptg000007l.1036,ptg000007lG000874
MD.model.ptg000007l.1037,ptg000007lG000875
MD.model.ptg000007l.1038,ptg000007lG000876
MD.model.ptg000007l.1039,ptg000007lG000877
MD.model.ptg000007l.1040,ptg000007lG000878
MD.model.ptg000007l.1041,ptg000007lG000879
MD.model.ptg000007l.1042,ptg000007lG000880
MD.model.ptg000007l.1043,ptg000007lG000881
MD.model.ptg000007l.1044,ptg000007lG000882
MD.model.ptg000007l.1045,ptg000007lG000883
MD.model.ptg000007l.1046,ptg000007lG000884
MD.model.ptg000007l.1047,ptg000007lG000885
MD.model.ptg000007l.1048,ptg000007lG000886
MD.model.ptg000007l.1049,ptg000007lG000887
MD.model.ptg000007l.105,ptg000007lG000081
MD.model.ptg000007l.1050,ptg000007lG000888
MD.model.ptg000007l.1051,ptg000007lG000889
MD.model.ptg000007l.1052,ptg000007lG000890
MD.model.ptg000007l.1053,ptg000007lG000891
MD.model.ptg000007l.1054,ptg000007lG000892
MD.model.ptg000007l.1055,ptg000007lG000893
MD.model.ptg000007l.1056,ptg000007lG000894
MD.model.ptg000007l.1057,ptg000007lG000895
MD.model.ptg000007l.1058,ptg000007lG000896
MD.model.ptg000007l.1059,ptg000007lG000897
MD.model.ptg000007l.1061,ptg000007lG000899
MD.model.ptg000007l.1062,ptg000007lG000900
MD.model.ptg000007l.1063,ptg000007lG000901
MD.model.ptg000007l.1064,ptg000007lG000902
MD.model.ptg000007l.1065,ptg000007lG000903
MD.model.ptg000007l.1066,ptg000007lG000904
MD.model.ptg000007l.1067,ptg000007lG000905
